"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2018","7.0598","7.1184","7.1232","7.0282","22.48M","0.10%"
"11/05/2018","7.1299","7.0598","7.1712","7.0598","20.09M","0.99%"
"11/06/2018","7.0445","7.1242","7.1270","6.9830","14.59M","-1.20%"
"11/07/2018","7.1443","7.1203","7.1770","7.1069","14.08M","1.42%"
"11/08/2018","7.2115","7.1491","7.2346","7.1462","12.30M","0.94%"
"11/09/2018","7.1702","7.2048","7.2182","7.1510","40.46M","-0.57%"
"11/12/2018","7.1318","7.1904","7.2086","7.1290","13.50M","-0.54%"
"11/13/2018","7.2134","7.1693","7.2326","7.1616","15.01M","1.14%"
"11/14/2018","7.1952","7.1712","7.2634","7.1453","12.13M","-0.25%"
"11/15/2018","7.2000","7.2211","7.3027","7.1462","17.07M","0.07%"
"11/16/2018","7.1971","7.2278","7.2470","7.1472","18.91M","-0.04%"
"11/19/2018","7.1683","7.2067","7.2710","7.1683","12.75M","-0.40%"
"11/20/2018","7.0339","7.1568","7.1616","7.0090","19.75M","-1.87%"
"11/21/2018","7.1078","7.0656","7.1942","7.0368","49.16M","1.05%"
"11/22/2018","6.9994","7.1040","7.1050","6.9994","11.06M","-1.53%"
"11/23/2018","7.0406","7.0070","7.0646","6.9869","8.36M","0.59%"
"11/26/2018","7.3488","7.1107","7.3987","7.1107","26.98M","4.38%"
"11/27/2018","7.3901","7.3555","7.4621","7.3382","18.77M","0.56%"
"11/28/2018","7.4669","7.4400","7.5264","7.4256","48.85M","1.04%"
"11/29/2018","7.4918","7.5350","7.6003","7.4736","35.13M","0.33%"
"11/30/2018","7.6109","7.5178","7.6243","7.5062","48.63M","1.59%"
"12/03/2018","7.6406","7.7232","7.7366","7.6282","26.47M","0.39%"
"12/04/2018","7.5706","7.6032","7.6454","7.5629","54.41M","-0.92%"
"12/05/2018","7.5427","7.4784","7.5811","7.4400","131.83M","-0.37%"
"12/06/2018","7.2989","7.4880","7.5024","7.2605","89.51M","-3.23%"
"12/07/2018","7.3728","7.3238","7.4563","7.3133","40.46M","1.01%"
"12/10/2018","7.2643","7.3354","7.3786","7.2192","14.12M","-1.47%"
"12/11/2018","7.3190","7.3046","7.4390","7.2634","118.81M","0.75%"
"12/12/2018","7.4333","7.3373","7.4851","7.3267","42.56M","1.56%"
"12/13/2018","7.5168","7.5360","7.6128","7.5005","25.40M","1.12%"
"12/14/2018","7.4794","7.4592","7.5158","7.3949","17.97M","-0.50%"
"12/17/2018","7.5139","7.4880","7.5984","7.4630","44.42M","0.46%"
"12/18/2018","7.1731","7.3718","7.3718","7.1722","151.25M","-4.54%"
"12/19/2018","7.2960","7.1914","7.3258","7.1904","190.39M","1.71%"
"12/20/2018","7.2029","7.2000","7.2768","7.1597","133.78M","-1.28%"
"12/21/2018","7.1914","7.1827","7.2125","7.0790","95.09M","-0.16%"
"12/24/2018","7.0896","7.1098","7.1424","7.0666","13.08M","-1.42%"
"12/27/2018","7.0176","7.0685","7.1040","6.9331","23.64M","-1.02%"
